,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2"
0,1.8571428571428501,2030,738.73684210526301,30,22.2678571428571,100,210,70,3000,220
1,1.8571428571428501,2030,738.73684210526301,50,23.75,284.61538461538402,210,70,3000,220
2,1.8571428571428501,2030,738.73684210526301,49.899999999999999,33,284.61538461538402,210,70,3000,220
3,1.8571428571428501,2030,738.73684210526301,129,21.25,300,210,70,3000,220
4,2.7713310580204702,2030,753,111.86,22.2678571428571,284.61538461538402,210,70,3000,220
5,2.7679180887372001,2000,748,111.86,22.2678571428571,284.61538461538402,210,70,3000,220
6,2.5696202531645498,1910,807,111.86,22.2678571428571,284.61538461538402,210,70,3000,220
7,2.5614754098360599,1900,535,111.86,22.2678571428571,284.61538461538402,380,75,1800,120
8,3.5570175438596401,1930,889,129,21.25,300,380,75,1800,120
9,3.5323383084577098,2100,1421,129,21.25,300,1010,78,2000,300
10,2.9196778363195399,2160,933,129,21.25,300,1010,78,2000,300
11,2.8773584905660301,1990,1628,129,21.25,300,1010,78,2000,300
12,1.5981735159817301,1950,827,129,21.25,300,470,73.3333333333333,2455.5555555555502,220
13,2.9196778363195399,1980,568,129,21.25,300,470,73.3333333333333,2455.5555555555502,220
14,4.0291262135922299,1910,800,129,21.25,300,470,73.3333333333333,2455.5555555555502,220
15,2.9347826086956501,2030,302,129,21.25,300,210,70,3000,220
16,3.5570175438596401,1880,313,129,21.25,300,210,70,3000,220
17,4.1935483870967696,1950,506,129,21.25,300,380,75,1800,120
18,4.8979591836734597,1890,540,129,21.25,300,380,75,1800,120
19,3.5323383084577098,1980,1183,111.86,22.2678571428571,284.61538461538402,1010,78,2000,300
20,2.8773584905660301,2000,205,111.86,22.2678571428571,284.61538461538402,1010,78,2000,300
21,1.5981735159817301,1920,456,111.86,22.2678571428571,284.61538461538402,470,73.3333333333333,2455.5555555555502,220
22,4.0291262135922299,1880,622,111.86,22.2678571428571,284.61538461538402,470,73.3333333333333,2455.5555555555502,220
23,2.5873476431962499,1953.27492638743,1136.5961346210499,137.62741961242,22.344533571525901,234.716882964809,555.89345331522304,80.803221760535607,2587.3429828906401,246.61311653663401
24,2.4999179278879402,1942.5957766833201,901.51994673357001,146.252207766867,23.081757479803699,351.23187396731203,864.72548380279204,76.178075081199296,3705.6725233616799,226.222760364565
25,2.04647146357792,2037.6318111898699,707.570887009741,101.617251334785,23.146392813098998,312.30720524262802,547.60121864405301,73.817066619423102,2624.02640716719,178.19855589229701
26,1.85647616956086,2018.2203315873301,836.29438156161905,135.401696554643,26.435514595544401,327.51037669861,150.96144850030299,77.210761575251993,2473.1871945674402,123.34456143249
27,3.3055354218420998,1917.90750636706,478.28624733965302,105.786929571358,17.8740999097888,328.15457946162002,526.69215940592699,72.3457087941471,3059.0329912123402,275.57587952210002
28,2.7095540945424901,1892.0711238067699,641.05254940464897,96.563293190344595,22.989290561324299,262.95672199028297,804.59262075019001,74.511359223087993,2288.9673765789198,126.81633887083299
29,2.2828253137092802,2008.35759183338,393.96732545538299,149.37283237037099,21.661750676506099,330.498640996826,535.37145911683399,72.244924078381601,2704.44508096151,261.07707161296503
30,1.9781401731788599,1973.62909661136,991.72409455931097,149.372127890098,19.750577886982001,232.058191344622,485.45377805731999,75.665700556609593,2448.9430792513399,162.49369362134399
31,1.7714363930697401,1872.4915598841101,801.03388254032598,79.794547873118404,22.296303721920602,340.73689844334501,864.92918370885604,70.947591560975695,2796.7854017649702,123.35626426751099
32,3.2770869869461801,2010.0470119239101,339.55042275745598,67.498993061737096,24.2806090209505,254.94908366984299,117.535234207925,67.478706626639195,2462.6053858683199,207.01858129598099
33,2.9843622258457398,1912.3154366445799,1183.09184548451,133.54900074328199,23.263796567358401,314.99612546198699,377.38900942845498,75.290452217715796,2303.7706561607001,200.580249351275
34,2.9161496209790898,1879.9698456542999,1003.27017753553,109.239530469489,25.682759477692901,294.04853660707801,408.35423933724297,71.700855618405498,3086.54619576288,192.191162092306
35,3.2476172106741599,1813.23459997756,757.87447899146503,81.379870837132799,23.4224652380694,279.080157491732,575.06285712082797,69.341132877179007,3188.1363577173101,252.87056880777999
36,2.4238756726660302,1908.94060108184,530.22868636180306,58.262414279218902,24.0735492275228,325.13868797849699,456.90804669773001,74.244354174185403,1890.50580698778,222.699487259763
37,5.0989930895812501,1977.3390472492599,1572.0960422799201,132.343059816683,25.397000979012201,286.55643085455,690.36483573594796,72.341639733494802,1386.57897293013,271.90139368809503
38,2.44417698589548,2085.49583722341,931.31063606309897,110.564839894065,23.4871397611806,270.28676509658902,278.23002027426401,71.479060465963101,2740.2296312836602,187.86137273976701
